Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,ISS-10,437.7900,split,145.9950,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
2,ISS-5,437.7950,split,145.9900,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
3,ISS--,437.8000,split,145.9900,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
4,ISS+5,437.8050,split,145.9900,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
5,ISS+10,437.8100,split,145.9850,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
6,FX1B-10,145.9500,split,435.2550,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
7,FX1B-5,145.9550,split,435.2500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
8,FX1B--,145.9600,split,435.2500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
9,FX1B+5,145.9650,split,435.2500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
10,FX1B+10,145.9700,split,435.2450,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
11,FX1D-10,145.9500,split,435.2550,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
12,FX1D-5,145.9550,split,435.2500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
13,FX1D--,145.9600,split,435.2500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
14,FX1D+5,145.9650,split,435.2500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
15,FX1D+10,145.9700,split,435.2450,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
16,SO50-10,436.7850,split,145.8550,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
17,SO50-5,436.7900,split,145.8500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
18,SO50--,436.7950,split,145.8500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
19,SO50+5,436.8000,split,145.8500,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
20,SO50+10,436.8050,split,145.8450,Tone,67,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
21,DWT2-10,145.8900,split,437.5050,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
22,DWT2-5,145.8950,split,437.5000,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
23,DWT2--,145.9000,split,437.5000,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
24,DWT2+5,145.9050,split,437.5000,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
25,DWT2+10,145.9100,split,437.4950,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
26,LIL2-10,437.1900,split,144.3550,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
27,LIL2-5,437.1950,split,144.3500,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
28,LIL2--,437.2000,split,144.3500,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
29,LIL2+5,437.2050,split,144.3500,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
30,LIL2+10,437.2100,split,144.3450,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
31,UVSQ-10,437.0100,split,145.9100,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
32,UVSQ-5,437.0150,split,145.9050,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
33,UVSQ--,437.0200,split,145.9050,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
34,UVSQ+5,437.0250,split,145.9050,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
35,UVSQ+10,437.0300,split,145.9000,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
36,CS5A-10,435.5900,split,145.9300,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
37,CS5A-5,435.5950,split,145.9250,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
38,CS5A--,435.6000,split,145.9250,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
39,CS5A+5,435.6050,split,145.9250,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
40,CS5A+10,435.6100,split,145.9200,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
41,TEVL-10,435.3900,split,145.9750,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
42,TEVL-5,435.3950,split,145.9700,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
43,TEVL--,435.4000,split,145.9700,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
44,TEVL+5,435.4050,split,145.9700,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
45,TEVL+10,435.4100,split,145.9650,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
